rfp_id,full_spec,level1_spec,level2_spec,level3_spec
RFP_3209,LSZH 440V 4C 6 sqmm Cu XLPE armoured cable as per IEC 60245,440V 4C 6 sqmm XLPE cable,4C 6 sqmm cable,4C cable
RFP_3210,110kV 1C 185 sqmm Cu XLPE armoured cable as per IEC 60840,Cu XLPE armoured cable as per IEC 60840,Cu cable as per IEC 60840,cable as per IEC 60840
RFP_3211,110kV 1C 185 sqmm Al XLPE armoured cable as per IEC 60840,185 sqmm Al XLPE cable as per IEC 60840,185 sqmm XLPE cable,XLPE cable
RFP_3212,LSZH 132kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60840,LSZH 1C 400 sqmm Al cable,1C Al cable,1C cable
RFP_3213,FR 300V 20C 0.5 sqmm Cu XLPE armoured cable as per BS 5308-1,300V 20C Cu armoured cable,Cu armoured cable,armoured cable
RFP_3214,FRLS 500V 6C 1.5 sqmm Cu PVC armoured cable as per BS 5308-1,500V 6C Cu armoured cable,500V 6C cable,6C cable
RFP_3215,132kV 1C 1000 sqmm Al XLPE armoured cable as per IEC 60840,132kV Al XLPE cable as per IEC 60840,Al XLPE cable,Al cable
RFP_3216,FRLS 440V 10C 1 sqmm Cu XLPE armoured cable as per IS 1554,440V Cu XLPE armoured cable,440V Cu cable,Cu cable
RFP_3217,110kV 1C 300 sqmm Cu XLPE armoured cable as per IEC 60840,110kV 1C 300 sqmm XLPE cable,110kV 300 sqmm cable,300 sqmm cable
RFP_3218,FR 11kV 1C 300 sqmm Al EPR armoured cable as per IS 7098-1,FR 11kV EPR armoured cable,11kV armoured cable,armoured cable
RFP_3219,LSZH 440V 24C 1.5 sqmm Cu XLPE armoured cable as per IS 694,24C 1.5 sqmm Cu cable as per IS 694,24C cable as per IS 694,cable as per IS 694
RFP_3220,FR 440V 30C 4 sqmm Cu XLPE armoured cable as per IS 1554,30C XLPE armoured cable as per IS 1554,XLPE cable as per IS 1554,cable as per IS 1554
RFP_3221,LSZH 440V 3C 4 sqmm Cu XLPE armoured cable as per IS 694,440V 4 sqmm armoured cable as per IS 694,4 sqmm armoured cable,armoured cable
RFP_3222,FR 500V 16C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 16C 2.5 sqmm Cu cable,FR 16C cable,FR cable
RFP_3223,LSZH 300V 20C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,300V 20C 1.5 sqmm Cu cable,20C 1.5 sqmm cable,20C cable
RFP_3224,440V 4C 35 sqmm Cu XLPE armoured cable as per IS 694,440V Cu XLPE armoured cable,Cu armoured cable,armoured cable
RFP_3225,LSZH 500V 12C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 500V 1 sqmm armoured cable,1 sqmm armoured cable,armoured cable
RFP_3226,FRLS 500V 7C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,500V Cu armoured cable as per IEC 60502-1,500V Cu cable,Cu cable
RFP_3227,FRLS 500V 3C 6 sqmm Al XLPE armoured cable as per IEC 60502-1,FRLS 500V Al XLPE cable,500V XLPE cable,XLPE cable
RFP_3228,ZH 500V 5C 10 sqmm Cu PVC armoured cable as per IEC 60245,500V Cu PVC armoured cable,500V PVC cable,PVC cable
RFP_3229,FR 500V 3C 25 sqmm Cu XLPE armoured cable as per IS 1554,FR 3C 25 sqmm XLPE cable,FR 3C cable,FR cable
RFP_3230,FR 1.1kV 4C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,FR 4C 1.5 sqmm cable as per IS 1554,4C cable as per IS 1554,cable as per IS 1554
RFP_3231,LSZH 440V 8C 2.5 sqmm Cu XLPE armoured cable as per IS 694,LSZH 2.5 sqmm XLPE armoured cable,XLPE armoured cable,armoured cable
RFP_3232,FR 500V 5C 4 sqmm Cu PVC armoured cable as per IEC 60245,FR 5C 4 sqmm cable as per IEC 60245,FR cable as per IEC 60245,cable as per IEC 60245
RFP_3233,LSZH 500V 8C 4 sqmm Cu XLPE armoured cable as per IS 1554,LSZH 4 sqmm XLPE armoured cable,4 sqmm XLPE cable,XLPE cable
RFP_3234,FRLS 500V 2C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 500V 1.5 sqmm XLPE cable,FRLS 500V cable,500V cable
RFP_3235,FR 440V 6C 1.5 sqmm Cu PVC armoured cable as per IS 694,6C Cu PVC cable as per IS 694,Cu cable as per IS 694,cable as per IS 694
RFP_3236,LSZH 300V 12C 0.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,300V 12C 0.5 sqmm Cu cable,12C 0.5 sqmm cable,12C cable
RFP_3237,LSZH 440V 5C 6 sqmm Cu PVC armoured cable as per IS 1554,440V 6 sqmm Cu armoured cable,6 sqmm Cu cable,Cu cable
RFP_3238,FR 110kV 1C 630 sqmm Cu XLPE armoured cable as per IEC 60840,FR 630 sqmm Cu XLPE cable,FR 630 sqmm cable,630 sqmm cable
RFP_3239,LSZH 440V 5C 0.75 sqmm Cu XLPE armoured cable as per IS 9968,440V Cu XLPE cable as per IS 9968,440V Cu cable,440V cable
RFP_3240,ZH 440V 3C 10 sqmm Cu XLPE armoured cable as per IS 1554,ZH 3C armoured cable as per IS 1554,ZH cable as per IS 1554,cable as per IS 1554
RFP_3241,FRLS 300V 6C 0.5 sqmm Cu XLPE armoured cable as per BS 5308-1,Cu XLPE armoured cable as per BS 5308-1,XLPE armoured cable,armoured cable
RFP_3242,FR 500V 1C 1000 sqmm Al PVC armoured cable as per IS 1554,FR 500V 1C armoured cable,FR 1C cable,FR cable
RFP_3243,Fire Survival 440V 4C 25 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 440V XLPE armoured cable,440V armoured cable,440V cable
RFP_3244,FRLS 1.1kV 3C 1.5 sqmm Cu XLPE armoured cable as per BS 5308,FRLS 1.5 sqmm XLPE armoured cable,FRLS 1.5 sqmm cable,1.5 sqmm cable
RFP_3245,FR 500V 14C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FR 14C PVC armoured cable,14C PVC cable,PVC cable
RFP_3246,LSZH 440V 3.5C 16 sqmm Al PVC armoured cable as per IEC 60502-1,440V 3. PVC armoured cable as per IEC 60502-1,440V 3. armoured cable,3. armoured cable
RFP_3247,500V 5C 1 sqmm Cu XLPE armoured cable as per IS 1554,5C Cu armoured cable as per IS 1554,armoured cable as per IS 1554,armoured cable
RFP_3248,220kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 62067,1C 1000 sqmm Cu XLPE cable,1C Cu cable,1C cable
RFP_3249,LSZH 440V 24C 4 sqmm Cu PVC armoured cable as per IS 694,LSZH 4 sqmm Cu cable as per IS 694,LSZH cable as per IS 694,cable as per IS 694
RFP_3250,FRLS 500V 12C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1,500V 4 sqmm Cu armoured cable,500V 4 sqmm cable,500V cable
RFP_3251,LSZH 440V 7C 2.5 sqmm Cu PVC armoured cable as per IS 694,LSZH 440V 2.5 sqmm Cu cable,440V Cu cable,440V cable
RFP_3252,440V 2C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 2C armoured cable as per IS 694,2C armoured cable,armoured cable
RFP_3253,LSZH 1.1kV 24C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 24C 1 sqmm XLPE cable,24C 1 sqmm cable,1 sqmm cable
RFP_3254,FRLS 300V 2C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,300V Cu PVC cable as per BS 5308-1,300V cable as per BS 5308-1,cable as per BS 5308-1
RFP_3255,ZH 400kV 1C 800 sqmm Cu XLPE armoured cable as per IEC 62067,ZH 400kV XLPE cable as per IEC 62067,ZH XLPE cable,XLPE cable
RFP_3256,LSZH 220kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 62067,400 sqmm XLPE armoured cable as per IEC 62067,400 sqmm armoured cable,armoured cable
RFP_3257,500V 4C 6 sqmm Al PVC armoured cable as per IS 694,4C Al armoured cable as per IS 694,Al cable as per IS 694,Al cable
RFP_3258,FRLS 300V 2C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,300V 2C armoured cable as per IEC 60502-1,300V armoured cable,300V cable
RFP_3259,Fire Survival 440V 4C 35 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 35 sqmm armoured cable as per IEC 60331,Fire Survival cable as per IEC 60331,cable as per IEC 60331
RFP_3260,1.1kV 20C 0.75 sqmm Cu XLPE armoured cable as per BS 5308-1,0.75 sqmm XLPE armoured cable as per BS 5308-1,0.75 sqmm cable as per BS 5308-1,0.75 sqmm cable
RFP_3261,LSZH 11kV 1C 95 sqmm Al XLPE armoured cable as per IS 7098-1,LSZH 11kV 95 sqmm XLPE cable,95 sqmm XLPE cable,95 sqmm cable
RFP_3262,1.1kV 4C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 4C 1.5 sqmm cable as per IEC 60502-1,4C 1.5 sqmm cable,1.5 sqmm cable
RFP_3263,FRLS 440V 27C 6 sqmm Cu PVC armoured cable as per IS 694,6 sqmm PVC armoured cable as per IS 694,6 sqmm PVC cable,6 sqmm cable
RFP_3264,3.3kV 3C 95 sqmm Cu XLPE armoured cable as per IEC 60502-1,3C 95 sqmm XLPE armoured cable,95 sqmm XLPE cable,XLPE cable
RFP_3265,440V 14C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 14C Cu armoured cable,Cu armoured cable,armoured cable
RFP_3266,FRLS 440V 2C 2.5 sqmm Cu PVC armoured cable as per IS 1554,FRLS 2C Cu armoured cable,2C armoured cable,armoured cable
RFP_3267,FRLS 440V 2C 240 sqmm Cu XLPE armoured cable as per IS 694,FRLS 240 sqmm Cu armoured cable,240 sqmm armoured cable,240 sqmm cable
RFP_3268,FRLS 1.1kV 3.5C 120 sqmm Al PVC armoured cable as per IEC 60502-1,1.1kV 3.5C PVC armoured cable,3. PVC armoured cable,3. armoured cable
RFP_3269,300V 12C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,12C 0.75 sqmm Cu cable as per BS 5308-1,12C 0.75 sqmm cable,12C cable
RFP_3270,FRLS 500V 6C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,500V Cu PVC armoured cable,500V Cu cable,Cu cable
RFP_3271,FR 500V 4C 6 sqmm Cu PVC armoured cable as per IEC 60502-1,FR 4C 6 sqmm cable as per IEC 60502-1,FR 4C cable,FR cable
RFP_3272,LSZH 440V 5C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 1 sqmm XLPE armoured cable,440V armoured cable,440V cable
RFP_3273,LSZH 500V 1C 1.5 sqmm Cu PVC armoured cable as per IEC 60245,LSZH 500V 1C armoured cable,1C armoured cable,1C cable
RFP_3274,11kV 1C 240 sqmm Cu EPR armoured cable as per IEC 60502-1,1C 240 sqmm Cu cable as per IEC 60502-1,240 sqmm Cu cable,240 sqmm cable
RFP_3275,Fire Survival 1.1kV 3C 95 sqmm Cu Mineral (MI) armoured cable as per IS 17048,1.1kV 95 sqmm Cu Mineral (MI) cable as per IS 17048,1.1kV Mineral (MI) cable as per IS 17048,Mineral (MI) cable as per IS 17048
RFP_3276,LSZH 440V 8C 6 sqmm Cu PVC armoured cable as per IS 694,LSZH 6 sqmm Cu cable as per IS 694,Cu cable as per IS 694,Cu cable
RFP_3277,LSZH 110kV 1C 1000 sqmm Al XLPE armoured cable as per IEC 60840,LSZH 1C armoured cable as per IEC 60840,LSZH cable as per IEC 60840,LSZH cable
RFP_3278,Fire Survival 440V 4C 70 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 70 sqmm Mineral (MI) armoured cable as per BS 6387,Fire Survival Mineral (MI) cable as per BS 6387,Mineral (MI) cable as per BS 6387
RFP_3279,FRLS 440V 3C 0.75 sqmm Cu XLPE armoured cable as per IS 9968,440V 3C Cu XLPE cable,440V Cu cable,Cu cable
RFP_3280,FR 300V 24C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,300V Cu armoured cable as per BS 5308-1,300V armoured cable,300V cable
RFP_3281,FRLS 500V 24C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1,500V Cu armoured cable as per BS 5308-1,Cu armoured cable,Cu cable
RFP_3282,FRLS 500V 3C 2.5 sqmm Cu PVC armoured cable as per IS 1554,500V 2.5 sqmm PVC cable as per IS 1554,500V PVC cable,500V cable
RFP_3283,FRLS 300V 20C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,20C Cu XLPE armoured cable,Cu armoured cable,armoured cable
RFP_3284,600V 1C 35 sqmm Cu XLPE armoured cable as per IS 694,600V 35 sqmm armoured cable as per IS 694,600V armoured cable,armoured cable
RFP_3285,1.1kV 12C 0.5 sqmm Cu PVC armoured cable as per IS 1554,1.1kV 12C Cu cable as per IS 1554,12C Cu cable,12C cable
RFP_3286,FR 220kV 1C 400 sqmm Al XLPE armoured cable as per IEC 62067,FR 1C 400 sqmm Al cable,400 sqmm Al cable,Al cable
RFP_3287,FRLS 500V 8C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,500V Cu armoured cable as per IEC 60502-1,Cu armoured cable,Cu cable
RFP_3288,LSZH 440V 19C 6 sqmm Cu XLPE armoured cable as per IS 1554,LSZH 6 sqmm armoured cable as per IS 1554,LSZH cable as per IS 1554,LSZH cable
RFP_3289,Fire Survival 440V 3C 70 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,440V 3C Mineral (MI) armoured cable as per IEC 60331,440V Mineral (MI) cable as per IEC 60331,440V Mineral (MI) cable
RFP_3290,FR 500V 10C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1,FR 10C 2.5 sqmm Cu cable,2.5 sqmm Cu cable,Cu cable
RFP_3291,LSZH 1.1kV 2C 0.75 sqmm Cu XLPE armoured cable as per BS 5308-1,0.75 sqmm Cu armoured cable as per BS 5308-1,0.75 sqmm armoured cable,0.75 sqmm cable
RFP_3292,LSZH 1.1kV 10C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,10C 1.5 sqmm XLPE armoured cable,10C XLPE cable,10C cable
RFP_3293,FR 440V 4C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 4C Cu XLPE cable,4C Cu cable,4C cable
RFP_3294,LSZH 1.1kV 3C 25 sqmm Cu PVC armoured cable as per IS 9968,1.1kV Cu PVC cable as per IS 9968,1.1kV cable as per IS 9968,cable as per IS 9968
RFP_3295,FR 33kV 1C 300 sqmm Cu XLPE armoured cable as per IEC 60502-2,1C Cu XLPE cable as per IEC 60502-2,Cu cable as per IEC 60502-2,Cu cable
RFP_3296,FRLS 440V 1C 120 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 1C XLPE armoured cable,1C XLPE cable,1C cable
RFP_3297,FR 22kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60502-2,22kV Cu XLPE cable as per IEC 60502-2,XLPE cable as per IEC 60502-2,XLPE cable
RFP_3298,FRLS 6.6kV 3C 300 sqmm Cu EPR armoured cable as per IEC 60502-1,3C 300 sqmm EPR cable as per IEC 60502-1,EPR cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_3299,Fire Survival 1.1kV 1C 50 sqmm Cu Mineral (MI) armoured cable as per BS 6387,1C 50 sqmm Cu Mineral (MI) cable as per BS 6387,1C Cu Mineral (MI) cable,Cu Mineral (MI) cable
RFP_3300,Fire Survival 1.1kV 3C 50 sqmm Cu Mineral (MI) armoured cable as per IS 17048,1.1kV 50 sqmm Mineral (MI) armoured cable as per IS 17048,50 sqmm Mineral (MI) armoured cable,Mineral (MI) armoured cable
RFP_3301,FRLS 1.1kV 12C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV 12C 1 sqmm Cu cable,1.1kV Cu cable,1.1kV cable
RFP_3302,FR 500V 1C 1.5 sqmm Cu PVC armoured cable as per BS 5308-1,FR 1.5 sqmm Cu cable as per BS 5308-1,FR 1.5 sqmm cable,1.5 sqmm cable
RFP_3303,LSZH 1.1kV 2C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,LSZH Cu PVC armoured cable,LSZH PVC cable,LSZH cable
RFP_3304,ZH 500V 3.5C 35 sqmm Cu XLPE armoured cable as per IS 1554,3.5C XLPE armoured cable as per IS 1554,3. armoured cable as per IS 1554,3. armoured cable
RFP_3305,FRLS 1.1kV 24C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FRLS 1.1kV Cu armoured cable,FRLS 1.1kV cable,FRLS cable
RFP_3306,LSZH 1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,LSZH 10C XLPE cable as per IS 1554,10C XLPE cable,XLPE cable
RFP_3307,6.6kV 1C 185 sqmm Al EPR armoured cable as per IS 7098-1,185 sqmm Al armoured cable as per IS 7098-1,185 sqmm cable as per IS 7098-1,185 sqmm cable
RFP_3308,1.1kV 1C 0.75 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV XLPE armoured cable as per IS 1554,1.1kV XLPE cable,XLPE cable
RFP_3309,LSZH 300V 2C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,2.5 sqmm PVC armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_3310,FRLS 300V 8C 1 sqmm Cu XLPE armoured cable as per BS 5308-1,Cu XLPE armoured cable as per BS 5308-1,armoured cable as per BS 5308-1,cable as per BS 5308-1
RFP_3311,Fire Survival 440V 1C 10 sqmm Cu XLPE armoured cable as per BS 6387,440V Cu XLPE cable as per BS 6387,Cu cable as per BS 6387,Cu cable
RFP_3312,LSZH 500V 3C 1 sqmm Cu PVC armoured cable as per IS 1554,LSZH 3C 1 sqmm PVC cable,3C PVC cable,3C cable
RFP_3313,110kV 1C 185 sqmm Al XLPE armoured cable as per IEC 60840,110kV 185 sqmm armoured cable as per IEC 60840,110kV cable as per IEC 60840,110kV cable
RFP_3314,3.3kV 3C 240 sqmm Al XLPE armoured cable as per IS 7098-1,3C 240 sqmm XLPE armoured cable,XLPE armoured cable,XLPE cable
RFP_3315,Fire Survival 440V 4C 16 sqmm Cu XLPE armoured cable as per IEC 60331,440V 4C 16 sqmm cable as per IEC 60331,4C cable as per IEC 60331,cable as per IEC 60331
RFP_3316,ZH 22kV 1C 120 sqmm Cu XLPE armoured cable as per IS 7098-2,ZH Cu XLPE armoured cable,Cu armoured cable,armoured cable
RFP_3317,FRLS 110kV 1C 300 sqmm Al XLPE armoured cable as per IEC 60840,1C Al XLPE armoured cable,Al armoured cable,armoured cable
RFP_3318,LSZH 6.6kV 3C 300 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH Cu armoured cable as per IEC 60502-1,LSZH armoured cable,LSZH cable
RFP_3319,FR 440V 2C 2.5 sqmm Cu PVC armoured cable as per IEC 60245,2C PVC armoured cable as per IEC 60245,2C armoured cable,armoured cable
RFP_3320,ZH 11kV 3C 150 sqmm Al XLPE armoured cable as per IEC 60502-1,11kV 3C Al XLPE cable,Al XLPE cable,XLPE cable
RFP_3321,FR 1.1kV 2C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,2C Cu XLPE armoured cable,2C armoured cable,2C cable
RFP_3322,Fire Survival 1.1kV 3C 120 sqmm Cu XLPE armoured cable as per IS 17048,1.1kV 3C 120 sqmm cable as per IS 17048,1.1kV cable as per IS 17048,1.1kV cable
RFP_3323,FR 500V 6C 6 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 6 sqmm XLPE cable as per IEC 60502-1,FR XLPE cable,FR cable
RFP_3324,FR 1.1kV 4C 50 sqmm Cu PVC armoured cable as per IS 9968,FR Cu PVC armoured cable,FR Cu cable,FR cable
RFP_3325,LSZH 1.1kV 7C 1 sqmm Cu XLPE armoured cable as per BS 5308,LSZH 1.1kV XLPE armoured cable,LSZH 1.1kV cable,1.1kV cable
RFP_3326,440V 8C 4 sqmm Cu XLPE armoured cable as per IS 694,8C XLPE armoured cable as per IS 694,armoured cable as per IS 694,armoured cable
RFP_3327,ZH 440V 3C 1.5 sqmm Cu XLPE armoured cable as per IS 9968,ZH 1.5 sqmm XLPE cable as per IS 9968,XLPE cable as per IS 9968,XLPE cable
RFP_3328,500V 4C 10 sqmm Cu PVC armoured cable as per IEC 60245,500V PVC armoured cable as per IEC 60245,armoured cable as per IEC 60245,armoured cable
RFP_3329,LSZH 1.1kV 16C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 1.1kV XLPE armoured cable,LSZH 1.1kV cable,LSZH cable
RFP_3330,FRLS 500V 1C 6 sqmm Cu PVC armoured cable as per IS 694,FRLS Cu PVC cable as per IS 694,PVC cable as per IS 694,cable as per IS 694
RFP_3331,300V 4C 1 sqmm Cu PVC armoured cable as per BS 5308-1,300V Cu PVC armoured cable,PVC armoured cable,PVC cable
RFP_3332,Fire Survival 440V 3C 120 sqmm Cu XLPE armoured cable as per BS 6387,440V 3C XLPE cable as per BS 6387,3C XLPE cable,XLPE cable
RFP_3333,Fire Survival 1.1kV 3C 70 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 70 sqmm Cu cable as per IEC 60331,70 sqmm Cu cable,Cu cable
RFP_3334,300V 24C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1,300V 24C Cu cable as per BS 5308-1,24C cable as per BS 5308-1,24C cable
RFP_3335,ZH 11kV 3C 240 sqmm Al XLPE armoured cable as per IS 7098-1,ZH 3C Al XLPE cable,ZH XLPE cable,ZH cable
RFP_3336,Fire Survival 440V 2C 16 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 2C Cu Mineral (MI) armoured cable,2C Mineral (MI) armoured cable,Mineral (MI) armoured cable
RFP_3337,FRLS 3.3kV 3C 120 sqmm Al XLPE armoured cable as per IS 7098-1,FRLS 120 sqmm Al cable as per IS 7098-1,FRLS 120 sqmm cable,FRLS cable
RFP_3338,LSZH 66kV 1C 1000 sqmm Al XLPE armoured cable as per IS 7098-3,66kV 1000 sqmm XLPE armoured cable,1000 sqmm XLPE cable,1000 sqmm cable
RFP_3339,FR 33kV 1C 150 sqmm Cu XLPE armoured cable as per IS 7098-2,33kV 1C 150 sqmm armoured cable,1C armoured cable,1C cable
RFP_3340,ZH 440V 1C 4 sqmm Cu XLPE armoured cable as per IEC 60245,1C XLPE armoured cable as per IEC 60245,1C cable as per IEC 60245,1C cable
RFP_3341,500V 14C 1.5 sqmm Cu PVC armoured cable as per IS 1554,14C Cu PVC armoured cable,Cu PVC cable,PVC cable
RFP_3342,Fire Survival 1.1kV 3C 2.5 sqmm Cu XLPE armoured cable as per IS 17048,Fire Survival 3C Cu cable as per IS 17048,Fire Survival Cu cable,Fire Survival cable
RFP_3343,LSZH 440V 4C 35 sqmm Cu PVC armoured cable as per IS 9968,LSZH 35 sqmm armoured cable as per IS 9968,35 sqmm cable as per IS 9968,35 sqmm cable
RFP_3344,LSZH 1.1kV 30C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 30C 2.5 sqmm armoured cable,2.5 sqmm armoured cable,armoured cable
RFP_3345,LSZH 33kV 1C 50 sqmm Cu XLPE armoured cable as per IS 7098-2,1C 50 sqmm Cu cable as per IS 7098-2,50 sqmm cable as per IS 7098-2,50 sqmm cable
RFP_3346,FR 500V 3C 2.5 sqmm Al PVC armoured cable as per IS 694,3C Al PVC armoured cable,3C PVC cable,3C cable
RFP_3347,300V 12C 0.75 sqmm Cu XLPE armoured cable as per BS 5308-1,12C 0.75 sqmm armoured cable as per BS 5308-1,0.75 sqmm armoured cable,0.75 sqmm cable
RFP_3348,LSZH 1.1kV 4C 25 sqmm Cu XLPE armoured cable as per IS 9968,LSZH 4C XLPE armoured cable,LSZH 4C cable,4C cable
RFP_3349,440V 2C 2.5 sqmm Cu PVC armoured cable as per IS 1554,440V 2C 2.5 sqmm Cu cable,2C Cu cable,2C cable
RFP_3350,Fire Survival 440V 3C 120 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival Cu armoured cable as per IEC 60331,armoured cable as per IEC 60331,armoured cable
RFP_3351,ZH 3.3kV 1C 70 sqmm Al XLPE armoured cable as per IS 7098-1,ZH 3.3kV Al XLPE cable,3.3kV Al cable,3.3kV cable
RFP_3352,Fire Survival 1.1kV 1C 35 sqmm Cu XLPE armoured cable as per BS 6387,1.1kV 1C XLPE armoured cable,XLPE armoured cable,armoured cable
RFP_3353,1.1kV 1C 4 sqmm Cu PVC armoured cable as per IS 1554,1.1kV 1C armoured cable as per IS 1554,1C cable as per IS 1554,1C cable
RFP_3354,Fire Survival 1.1kV 1C 1.5 sqmm Cu Mineral (MI) armoured cable as per BS 6387,1.1kV 1.5 sqmm Cu Mineral (MI) armoured cable,1.5 sqmm Mineral (MI) armoured cable,1.5 sqmm Mineral (MI) cable
RFP_3355,1.1kV 4C 1 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV Cu XLPE armoured cable,Cu XLPE cable,XLPE cable
RFP_3356,1.1kV 24C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,Cu XLPE armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,armoured cable
RFP_3357,FRLS 440V 4C 0.75 sqmm Cu XLPE armoured cable as per IS 694,0.75 sqmm XLPE armoured cable as per IS 694,0.75 sqmm XLPE cable,XLPE cable
RFP_3358,ZH 110kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60840,ZH Al XLPE cable as per IEC 60840,Al cable as per IEC 60840,Al cable
RFP_3359,LSZH 1.1kV 1C 1 sqmm Cu XLPE armoured cable as per IS 1554,LSZH Cu XLPE cable as per IS 1554,LSZH cable as per IS 1554,cable as per IS 1554
RFP_3360,Fire Survival 440V 4C 35 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,Fire Survival 4C Cu Mineral (MI) armoured cable,4C Cu Mineral (MI) cable,Cu Mineral (MI) cable
RFP_3361,FRLS 33kV 3C 185 sqmm Cu XLPE armoured cable as per IEC 60502-2,FRLS 3C armoured cable as per IEC 60502-2,FRLS armoured cable,FRLS cable
RFP_3362,LSZH 440V 5C 4 sqmm Cu XLPE armoured cable as per IEC 60245,LSZH 440V 4 sqmm XLPE cable,LSZH 440V cable,440V cable
RFP_3363,LSZH 220kV 1C 500 sqmm Cu XLPE armoured cable as per IEC 62067,220kV 1C Cu armoured cable,220kV armoured cable,armoured cable
RFP_3364,500V 12C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,1 sqmm Cu armoured cable as per IEC 60502-1,1 sqmm cable as per IEC 60502-1,1 sqmm cable
RFP_3365,FRLS 3.3kV 3C 95 sqmm Al EPR armoured cable as per IS 7098-1,3.3kV 95 sqmm EPR armoured cable,95 sqmm EPR cable,EPR cable
RFP_3366,LSZH 400kV 1C 800 sqmm Al XLPE armoured cable as per IEC 62067,400kV 1C 800 sqmm Al cable,400kV Al cable,400kV cable
RFP_3367,440V 27C 1.5 sqmm Cu PVC armoured cable as per IS 694,1.5 sqmm Cu PVC cable as per IS 694,1.5 sqmm cable as per IS 694,cable as per IS 694
RFP_3368,FR 11kV 3C 240 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 11kV Cu XLPE cable,FR 11kV cable,11kV cable
RFP_3369,FRLS 1.1kV 3C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV Cu PVC armoured cable,PVC armoured cable,PVC cable
RFP_3370,FRLS 1.1kV 19C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 19C armoured cable as per IEC 60502-1,1.1kV 19C cable,1.1kV cable
RFP_3371,LSZH 6.6kV 3C 70 sqmm Al EPR armoured cable as per IEC 60502-1,6.6kV 3C 70 sqmm cable as per IEC 60502-1,70 sqmm cable as per IEC 60502-1,cable as per IEC 60502-1
